year,month,deaths,allcausedeaths,percentexpected
2020,01,0.0,60170.0,98.0
2020,01,1.0,60734.0,97.0
2020,01,2.0,59362.0,98.0
2020,01,3.0,59162.0,99.0
2020,02,0.0,58834.0,99.0
2020,02,4.0,59482.0,100.0
2020,02,6.0,58815.0,100.0
2020,02,6.0,58912.0,101.0
2020,02,9.0,59334.0,103.0
2020,03,38.0,59694.0,103.0
2020,03,60.0,58672.0,103.0
2020,03,588.0,59219.0,104.0
2020,03,3226.0,63026.0,113.0
2020,04,10141.0,72294.0,130.0
2020,04,16347.0,79095.0,143.0
2020,04,17221.0,76809.0,142.0
2020,04,15557.0,73909.0,138.0
2020,05,13223.0,69303.0,129.0
2020,05,11243.0,66814.0,127.0
2020,05,9239.0,64479.0,123.0
2020,05,7249.0,61630.0,119.0
2020,05,6176.0,59682.0,115.0
2020,06,5060.0,58908.0,113.0
2020,06,4233.0,58034.0,112.0
2020,06,3852.0,57999.0,112.0
2020,06,3846.0,58510.0,114.0
2020,07,4557.0,59825.0,115.0
2020,07,5786.0,61945.0,121.0
2020,07,7198.0,63177.0,124.0
2020,07,8250.0,64249.0,127.0
2020,08,8308.0,64235.0,126.0
2020,08,7870.0,63719.0,125.0
2020,08,7270.0,63644.0,126.0
2020,08,6389.0,62562.0,124.0
2020,08,5755.0,61104.0,120.0
2020,09,5021.0,60247.0,118.0
2020,09,4628.0,59665.0,116.0
2020,09,4280.0,59740.0,116.0
2020,09,4305.0,60613.0,117.0
2020,10,4246.0,59802.0,114.0
2020,10,4823.0,61779.0,118.0
2020,10,5204.0,60643.0,114.0
2020,10,6000.0,62189.0,116.0
2020,10,7031.0,63425.0,118.0
2020,11,8766.0,67590.0,124.0
2020,11,10654.0,68823.0,125.0
2020,11,13365.0,71676.0,130.0
2020,11,15628.0,73305.0,133.0
2020,12,18578.0,77429.0,137.0
2020,12,20940.0,82006.0,143.0
2020,12,22342.0,82938.0,143.0
2020,12,23399.0,84371.0,144.0
