,date,track,artist,URI
41,2019-01-05,Happy Xmas  War Is Over,John   Yoko   Plastic Ono Band With The Harlem Community Choirg,
286,2019-05-11,Stop Snitching,YG,
334,2019-06-15,Ran$om,Lil Tecca,
383,2019-07-27,Baguettes In The Face,Mustard featuring NAV  Playboi Carti   A Boogie Wit da Hoodie,
393,2019-08-03,Brown Skin Girl,Beyonce  SAINt JHN   Wizkid  Blue Ivy Carter,
408,2019-08-17,How About Now,Drake,
532,2019-10-19,Leave Em Alone,Layton Greene  Lil Baby  City Girls   PnB Rock,
541,2019-10-26,All Dat,Moneybagg Yo Megan Thee Stallon,
593,2019-11-30,RITMO  Bad Boys For Life,The Black Eyed Peas J Balvin,
674,2020-02-01,You Gon  Learn,Eminem  Royce da 5 9%22   White Gold,
701,2020-02-08,Dive Bar,Garth Brooks   Blake Shelton,
716,2020-02-22,Rodeo,Lil Nas   Cardi B Or Nas,
869,2020-05-02,%40 MEH,Playboi Carti,
921,2020-05-23,Can I,Kehlani  Tory Lanez,
1046,2020-07-25,Be Like That,Kane Brown With Swae Lee   Khalid,
1053,2020-08-01,The Climb Back,J. Cole,
1088,2020-08-22,B tch From da Souf,Mulatto,
1133,2020-10-03,One Too Many,Keith Urban Duet With P nk,
1222,2020-11-21,All These N  gas,King Von  Lil Durk,
1223,2020-11-21,Crazy Story 2.0,King Von  Lil Durk,
1235,2020-11-28,Iris,Phoebe   Maggie,
1307,2020-12-26,Mr. Solo Dolo III,Kid Cudi,
